"","Entity","Code","Year","Crude divorce rate (per 1,000 inhabitants)"
"1","Australia","AUS",1981,2.8
"2","Australia","AUS",1982,2.9000001
"3","Australia","AUS",1983,2.8
"4","Australia","AUS",1984,2.8
"5","Australia","AUS",1985,2.5
"6","Australia","AUS",1986,2.5
"7","Australia","AUS",1987,2.4000001
"8","Australia","AUS",1988,2.5
"9","Australia","AUS",1989,2.5
"10","Australia","AUS",1990,2.5
"11","Australia","AUS",1991,2.5999999
"12","Australia","AUS",1992,2.5999999
"13","Australia","AUS",1993,2.7
"14","Australia","AUS",1994,2.7
"15","Australia","AUS",1995,2.8
"16","Australia","AUS",1996,2.9000001
"17","Australia","AUS",1997,2.8
"18","Australia","AUS",1998,2.7
"19","Australia","AUS",1999,2.8
"20","Australia","AUS",2000,2.5999999
"21","Australia","AUS",2001,2.8
"22","Australia","AUS",2002,2.7
"23","Australia","AUS",2003,2.7
"24","Australia","AUS",2004,2.5999999
"25","Australia","AUS",2005,2.5999999
"26","Australia","AUS",2006,2.5
"27","Australia","AUS",2007,2.3
"28","Australia","AUS",2008,2.2
"29","Australia","AUS",2009,2.3
"30","Australia","AUS",2010,2.3
"31","Australia","AUS",2011,2.2
"32","Australia","AUS",2012,2.2
"33","Australia","AUS",2013,2.0999999
"34","Australia","AUS",2014,2
"35","Australia","AUS",2015,2
"36","Australia","AUS",2016,1.9
"37","Australia","AUS",2017,2
"38","Germany","DEU",1981,2
"39","Germany","DEU",1982,2.0999999
"40","Germany","DEU",1983,2.2
"41","Germany","DEU",1984,2.3
"42","Germany","DEU",1985,2.3
"43","Germany","DEU",1986,2.3
"44","Germany","DEU",1987,2.3
"45","Germany","DEU",1988,2.3
"46","Germany","DEU",1989,2.2
"47","Germany","DEU",1990,1.9
"48","Germany","DEU",1991,1.7
"49","Germany","DEU",1992,1.7
"50","Germany","DEU",1993,1.9
"51","Germany","DEU",1994,2
"52","Germany","DEU",1995,2.0999999
"53","Germany","DEU",1996,2.0999999
"54","Germany","DEU",1997,2.3
"55","Germany","DEU",1998,2.3
"56","Germany","DEU",1999,2.3
"57","Germany","DEU",2000,2.4000001
"58","Germany","DEU",2001,2.4000001
"59","Germany","DEU",2002,2.5
"60","Germany","DEU",2003,2.5999999
"61","Germany","DEU",2004,2.5999999
"62","Germany","DEU",2005,2.4000001
"63","Germany","DEU",2006,2.3
"64","Germany","DEU",2007,2.3
"65","Germany","DEU",2008,2.3
"66","Germany","DEU",2009,2.3
"67","Germany","DEU",2010,2.3
"68","Germany","DEU",2011,2.3
"69","Germany","DEU",2012,2.2
"70","Germany","DEU",2013,2.0999999
"71","Germany","DEU",2014,2.0999999
"72","Germany","DEU",2015,2
"73","Germany","DEU",2016,2
"74","Germany","DEU",2017,1.9
"75","Japan","JPN",1981,1.3
"76","Japan","JPN",1982,1.4
"77","Japan","JPN",1983,1.5
"78","Japan","JPN",1984,1.5
"79","Japan","JPN",1985,1.4
"80","Japan","JPN",1986,1.4
"81","Japan","JPN",1987,1.3
"82","Japan","JPN",1988,1.3
"83","Japan","JPN",1989,1.3
"84","Japan","JPN",1990,1.3
"85","Japan","JPN",1991,1.4
"86","Japan","JPN",1992,1.5
"87","Japan","JPN",1993,1.5
"88","Japan","JPN",1994,1.6
"89","Japan","JPN",1995,1.6
"90","Japan","JPN",1996,1.7
"91","Japan","JPN",1997,1.8
"92","Japan","JPN",1998,1.9
"93","Japan","JPN",1999,2
"94","Japan","JPN",2000,2.0999999
"95","Japan","JPN",2001,2.3
"96","Japan","JPN",2002,2.3
"97","Japan","JPN",2003,2.3
"98","Japan","JPN",2004,2.2
"99","Japan","JPN",2005,2.0999999
"100","Japan","JPN",2006,2
"101","Japan","JPN",2007,2
"102","Japan","JPN",2008,2
"103","Japan","JPN",2009,2
"104","Japan","JPN",2010,2
"105","Japan","JPN",2011,1.9
"106","Japan","JPN",2012,1.9
"107","Japan","JPN",2013,1.8
"108","Japan","JPN",2014,1.8
"109","Japan","JPN",2015,1.8
"110","Japan","JPN",2016,1.7
"111","Japan","JPN",2017,1.7
"112","South Korea","KOR",1981,0.60000002
"113","South Korea","KOR",1982,0.69999999
"114","South Korea","KOR",1983,0.69999999
"115","South Korea","KOR",1984,0.89999998
"116","South Korea","KOR",1985,0.89999998
"117","South Korea","KOR",1986,0.89999998
"118","South Korea","KOR",1987,1
"119","South Korea","KOR",1988,1
"120","South Korea","KOR",1989,1
"121","South Korea","KOR",1990,1.1
"122","South Korea","KOR",1991,1.1
"123","South Korea","KOR",1992,1.2
"124","South Korea","KOR",1993,1.3
"125","South Korea","KOR",1994,1.4
"126","South Korea","KOR",1995,1.5
"127","South Korea","KOR",1996,1.7
"128","South Korea","KOR",1997,2
"129","South Korea","KOR",1998,2.5
"130","South Korea","KOR",1999,2.5
"131","South Korea","KOR",2000,2.5
"132","South Korea","KOR",2001,2.8
"133","South Korea","KOR",2002,3
"134","South Korea","KOR",2003,3.4000001
"135","South Korea","KOR",2004,2.9000001
"136","South Korea","KOR",2005,2.5999999
"137","South Korea","KOR",2006,2.5
"138","South Korea","KOR",2007,2.5
"139","South Korea","KOR",2008,2.4000001
"140","South Korea","KOR",2009,2.5
"141","South Korea","KOR",2010,2.3
"142","South Korea","KOR",2011,2.3
"143","South Korea","KOR",2012,2.3
"144","South Korea","KOR",2013,2.3
"145","South Korea","KOR",2014,2.3
"146","South Korea","KOR",2015,2.0999999
"147","South Korea","KOR",2016,2.0999999
"148","South Korea","KOR",2017,2.0999999
"149","United States","USA",1981,5.3000002
"150","United States","USA",1982,5
"151","United States","USA",1983,4.9000001
"152","United States","USA",1984,5
"153","United States","USA",1985,5
"154","United States","USA",1986,4.9000001
"155","United States","USA",1987,4.8000002
"156","United States","USA",1988,4.8000002
"157","United States","USA",1989,4.6999998
"158","United States","USA",1990,4.6999998
"159","United States","USA",1991,4.6999998
"160","United States","USA",1992,4.8000002
"161","United States","USA",1993,4.5999999
"162","United States","USA",1994,4.5999999
"163","United States","USA",1995,4.4000001
"164","United States","USA",1996,4.3000002
"165","United States","USA",1997,4.3000002
"166","United States","USA",1998,4.1999998
"167","United States","USA",1999,4.0999999
"168","United States","USA",2000,4.0999999
"169","United States","USA",2001,4
"170","United States","USA",2002,3.9000001
"171","United States","USA",2003,3.8
"172","United States","USA",2004,3.7
"173","United States","USA",2005,3.5999999
"174","United States","USA",2006,3.7
"175","United States","USA",2007,3.5999999
"176","United States","USA",2008,3.5
"177","United States","USA",2009,3.5
"178","United States","USA",2010,3.5999999
"179","United States","USA",2011,3.5999999
"180","United States","USA",2012,3.4000001
"181","United States","USA",2013,3.3
"182","United States","USA",2014,3.2
"183","United States","USA",2015,3.0999999
"184","United States","USA",2016,3
"185","United States","USA",2017,2.9000001
